id,arquivo_origem,trecho_ou_template,tipo_risco,severidade,problema,resposta_corrigida_sugerida,disclaimer_recomendado,status
JIM-COMP-0011,C:\Users\jfdco\OneDrive\Área de Trabalho\HARPIAN\04_JIM_COMPLIANCE_QA\JIM Biblioteca Estrutura all docs\docs\jim\JIM_COMPLIANCE_RULES_v2.md,"line_block_4: beled as alternative view | New in v2 — required at L4 | --- ## What JIM Cannot Do (v2 — Extended List) | Prohibited Action | Regulatory Basis | |-------------------|-----------------| | Recommend buy/sell/hold | Reg BI, Fiduciary Interpretation | | Say ""I recommend"" | Marketing Rule, Reg BI | | Say ""you should invest"" | Marketing Rule, Fiduciary Interpretation | | Say ""the best product for you"" | Reg BI, Marketing Rule | | Promise a return | Marketing Rule | | Suggest absolute safety | Marketing Rule, FINRA 2210 | | Claim guaranteed protection | Marketing Rule, FINRA 2210 | | Project performance as certainty | Marketing Rule, FINRA 2210 | | ",Promessa proibida / garantia,CRITICAL,"A linguagem pode ser lida como promessa, garantia ou projeção de resultado.","Substituir por linguagem condicional e factual: 'A estratégia pode ser analisada como parte de um processo de suitability; resultados variam e não há garantia de retorno, proteção ou superação de benchmark.'","As informações são educacionais e devem ser avaliadas com riscos, limitações, custos e suitability. Não há promessa, garantia ou projeção de retorno.",REVISAO_OBRIGATORIA
JIM-COMP-0012,C:\Users\jfdco\OneDrive\Área de Trabalho\HARPIAN\04_JIM_COMPLIANCE_QA\JIM Biblioteca Estrutura all docs\docs\jim\JIM_COMPLIANCE_RULES_v2.md,"line_block_5: ndation | Reg BI, Fiduciary Interpretation | | Present adverse scenario as likely/probable | Marketing Rule | | Present counter-thesis as advocacy | FINRA 2210 | | Omit MODEL_LIMITATION when citing HRD Engine | Marketing Rule 206(4)-1(a)(1)(vii) | | Present Output 2 (CLIENT_READY_MESSAGE) without regulatory close | FINRA 2210 | --- ## CGE Processing Steps — v2 ### Pass 1 — Output 1 (INTERNAL_ANALYSIS) 1. **Forbidden Language Scan** — check against `config/forbidden_language.json` (Severity 1/2/3) 2. **Recommendation Detection** — pattern-match action directives across all 8 blocks 3. **Promise/Guarantee Detection** — detect forward-looking ce",Promessa proibida / garantia,CRITICAL,"A linguagem pode ser lida como promessa, garantia ou projeção de resultado.","Substituir por linguagem condicional e factual: 'A estratégia pode ser analisada como parte de um processo de suitability; resultados variam e não há garantia de retorno, proteção ou superação de benchmark.'","As informações são educacionais e devem ser avaliadas com riscos, limitações, custos e suitability. Não há promessa, garantia ou projeção de retorno.",REVISAO_OBRIGATORIA
JIM-COMP-0013,C:\Users\jfdco\OneDrive\Área de Trabalho\HARPIAN\04_JIM_COMPLIANCE_QA\JIM Biblioteca Estrutura all docs\docs\jim\JIM_COMPLIANCE_RULES_v2.md,"line_block_7: The user receives the safe fallback only. --- ## Forbidden Language — v2 Extensions The base forbidden_language.json list remains. v2 adds the following simulation-specific terms: ### Severity 1 Additions (Block) | Term | Language | Reason | |------|----------|--------| | ""this will perform better"" | EN | Forward certainty claim | | ""isso vai performar melhor"" | PT | Forward certainty claim | | ""proven strategy"" | EN | Performance guarantee implication | | ""estratégia comprovada"" | PT | Performance guarantee implication | | ""you can't lose"" | EN | Absolute safety claim | | ""você não vai perder"" | PT | Absolute safety claim | | ""the simulation",Promessa proibida / garantia,CRITICAL,"A linguagem pode ser lida como promessa, garantia ou projeção de resultado.","Substituir por linguagem condicional e factual: 'A estratégia pode ser analisada como parte de um processo de suitability; resultados variam e não há garantia de retorno, proteção ou superação de benchmark.'","As informações são educacionais e devem ser avaliadas com riscos, limitações, custos e suitability. Não há promessa, garantia ou projeção de retorno.",REVISAO_OBRIGATORIA
JIM-COMP-0014,C:\Users\jfdco\OneDrive\Área de Trabalho\HARPIAN\04_JIM_COMPLIANCE_QA\compliance_audit_extracted\HARPIAN_QA_CONSOLIDADO_COM_DISCLAIMERS.docx,"paragraph_block_22: O perfil de risco efetivo deve ser o mínimo entre os dois — nenhum dos dois pode ser ignorado sem risco fiduciário. 12. Como objetivo de retorno muda o risco necessário? Origem: Harpian_150_Questionnaire.txt | linha 46 | Status auditoria: APROVADO_COM_CORRECAO | Domínios: performance/simulacao, suitability/alocacao O objetivo de retorno determina o risco mínimo necessário para atingir a meta financeira — o que pode ser denominado 'risco de destino'. Se um investidor precisa de retorno real de 8% a.a. para atingir sua meta em 15 anos, mas investe em instrumentos que rendem 4% a.a., ele assume risco de destino elevado (probabilidade de não atin",Promessa proibida / garantia,CRITICAL,"A linguagem pode ser lida como promessa, garantia ou projeção de resultado.","Substituir por linguagem condicional e factual: 'A estratégia pode ser analisada como parte de um processo de suitability; resultados variam e não há garantia de retorno, proteção ou superação de benchmark.'","As informações são educacionais e devem ser avaliadas com riscos, limitações, custos e suitability. Não há promessa, garantia ou projeção de retorno.",REVISAO_OBRIGATORIA
JIM-COMP-0015,C:\Users\jfdco\OneDrive\Área de Trabalho\HARPIAN\04_JIM_COMPLIANCE_QA\compliance_audit_extracted\HARPIAN_QA_CONSOLIDADO_COM_DISCLAIMERS.docx,"paragraph_block_34: Quais frases evitar ao explicar score de risco? Origem: Harpian_150_Questionnaire.txt | linha 64 | Status auditoria: BLOQUEAR_ATE_CORRIGIR | Domínios: performance/simulacao, performance/simulacao, fiscal/legal, produto/estrutura, suitability/alocacao Frases a evitar rigorosamente: (i) 'Seu portfólio é seguro' — implica garantia inexistente; (ii) 'Este investimento não vai cair mais de X%' — promessa de performance proibida; (iii) 'Nosso sistema garante proteção contra perdas' — nenhum sistema garante proteção total; (iv) 'Você vai ganhar X% ao ano' — projeção de retorno como certeza; (v) 'Este score é preciso' — sem qualificação, cria expecta",Promessa proibida / garantia,CRITICAL,"A linguagem pode ser lida como promessa, garantia ou projeção de resultado.","Substituir por linguagem condicional e factual: 'A estratégia pode ser analisada como parte de um processo de suitability; resultados variam e não há garantia de retorno, proteção ou superação de benchmark.'","As informações são educacionais e devem ser avaliadas com riscos, limitações, custos e suitability. Não há promessa, garantia ou projeção de retorno.",REVISAO_OBRIGATORIA
JIM-COMP-0016,C:\Users\jfdco\OneDrive\Área de Trabalho\HARPIAN\04_JIM_COMPLIANCE_QA\compliance_audit_extracted\HARPIAN_QA_CONSOLIDADO_COM_DISCLAIMERS.docx,"paragraph_block_128: Como evitar prometer proteção total contra queda? Origem: Harpian_150_Questionnaire.txt | linha 223 | Status auditoria: APROVADO | Domínios: performance/simulacao, fiscal/legal, suitability/alocacao O sistema não promete nem pode prometer proteção total contra quedas. A comunicação correta enfatiza: (i) O StormGuard-Armor é projetado para detectar deterioração estrutural de mercado, não para prever quedas pontuais ou correções de curto prazo; (ii) Podem ocorrer períodos em que o portfólio sofre perdas antes que o sinal defensivo seja ativado (especialmente em quedas abruptas); (iii) O sistema busca reduzir a exposição a Bear Markets estrutura",Promessa proibida / garantia,CRITICAL,"A linguagem pode ser lida como promessa, garantia ou projeção de resultado.","Substituir por linguagem condicional e factual: 'A estratégia pode ser analisada como parte de um processo de suitability; resultados variam e não há garantia de retorno, proteção ou superação de benchmark.'","As informações são educacionais e devem ser avaliadas com riscos, limitações, custos e suitability. Não há promessa, garantia ou projeção de retorno.",REVISAO_OBRIGATORIA
JIM-COMP-0017,C:\Users\jfdco\OneDrive\Área de Trabalho\HARPIAN\04_JIM_COMPLIANCE_QA\compliance_audit_extracted\HARPIAN_QA_CONSOLIDADO_COM_DISCLAIMERS.docx,"paragraph_block_161: Descrições de estrutura, custódia, liquidez, segregação patrimonial ou bankruptcy remoteness devem ser confirmadas nos documentos oficiais de oferta, contratos, custodiante, administrador e pareceres jurídicos aplicáveis. Nenhuma estrutura elimina todos os riscos de mercado, crédito, contraparte, liquidez, execução, operacional ou regulatório. 87. Como explicar que maior retorno exige maior oscilação? Origem: Harpian_150_Questionnaire.txt | linha 271 | Status auditoria: APROVADO | Domínios: performance/simulacao, fiscal/legal, suitability/alocacao O princípio fundamental de risco-retorno estabelece que retornos superiores à taxa livre de risc",Promessa proibida / garantia,CRITICAL,"A linguagem pode ser lida como promessa, garantia ou projeção de resultado.","Substituir por linguagem condicional e factual: 'A estratégia pode ser analisada como parte de um processo de suitability; resultados variam e não há garantia de retorno, proteção ou superação de benchmark.'","As informações são educacionais e devem ser avaliadas com riscos, limitações, custos e suitability. Não há promessa, garantia ou projeção de retorno.",REVISAO_OBRIGATORIA
JIM-COMP-0018,C:\Users\jfdco\OneDrive\Área de Trabalho\HARPIAN\04_JIM_COMPLIANCE_QA\compliance_audit_extracted\HARPIAN_QA_CONSOLIDADO_COM_DISCLAIMERS.docx,"paragraph_block_190: Expectativa futura é uma projeção probabilística com incerteza inerente. A distinção deve ser sempre explícita: 'Os retornos históricos apresentados refletem a performance da estratégia no passado, em condições específicas de mercado que podem não se repetir. A expectativa futura é construída sobre a premissa de que a metodologia sistemática — que gerou os resultados históricos — continuará sendo aplicada de forma consistente. Contudo, condições de mercado, taxas de juros, correlações entre ativos e regimes macroeconômicos mudam ao longo do tempo. Nenhuma projeção futura pode ser garantida.' Regulatoriamente: 'Resultados passados não são gara",Promessa proibida / garantia,CRITICAL,"A linguagem pode ser lida como promessa, garantia ou projeção de resultado.","Substituir por linguagem condicional e factual: 'A estratégia pode ser analisada como parte de um processo de suitability; resultados variam e não há garantia de retorno, proteção ou superação de benchmark.'","As informações são educacionais e devem ser avaliadas com riscos, limitações, custos e suitability. Não há promessa, garantia ou projeção de retorno.",REVISAO_OBRIGATORIA
JIM-COMP-0019,C:\Users\jfdco\OneDrive\Área de Trabalho\HARPIAN\04_JIM_COMPLIANCE_QA\compliance_audit_extracted\HARPIAN_QA_CONSOLIDADO_COM_DISCLAIMERS.docx,"paragraph_block_198: rnativa superior: em vez de operar vendido para se proteger, o sistema simplesmente vai para caixa — obtendo proteção total sem custo de carry e com risco operacional zero. Caixa é a posição defensiva eleita por ser mais eficiente em risco-retorno do que posições vendidas. Disclaimer aplicável: Os números e análises apresentados nesta resposta são estimativas aproximadas, baseadas nas informações disponíveis, em dados históricos e/ou em premissas quantitativas específicas. Eles têm finalidade exclusivamente informativa e educacional. Não constituem recomendação de investimento, oferta, solicitação, aconselhamento financeiro, jurídico ou fisca",Promessa proibida / garantia,CRITICAL,"A linguagem pode ser lida como promessa, garantia ou projeção de resultado.","Substituir por linguagem condicional e factual: 'A estratégia pode ser analisada como parte de um processo de suitability; resultados variam e não há garantia de retorno, proteção ou superação de benchmark.'","As informações são educacionais e devem ser avaliadas com riscos, limitações, custos e suitability. Não há promessa, garantia ou projeção de retorno.",REVISAO_OBRIGATORIA
JIM-COMP-0020,C:\Users\jfdco\OneDrive\Área de Trabalho\HARPIAN\04_JIM_COMPLIANCE_QA\compliance_audit_extracted\HARPIAN_QA_CONSOLIDADO_COM_DISCLAIMERS.docx,"paragraph_block_220: O que faz um custodiante? Origem: Harpian_150_Questionnaire.txt | linha 346 | Status auditoria: APROVADO | Domínios: produto/estrutura As funções operacionais de um custodiante incluem: (i) Guarda de ativos: manutenção dos registros de propriedade e posições em nome do investidor; (ii) Liquidação de operações: processamento de compra e venda de ativos, garantindo entrega versus pagamento (DVP) em tempo hábil; (iii) Coleta de rendimentos: dividendos, juros e outros proventos são coletados e creditados à conta do investidor; (iv) Processamento de eventos corporativos: bonificações, splits, subscrições, ofertas públicas; (v) Marcação a mercado e",Promessa proibida / garantia,CRITICAL,"A linguagem pode ser lida como promessa, garantia ou projeção de resultado.","Substituir por linguagem condicional e factual: 'A estratégia pode ser analisada como parte de um processo de suitability; resultados variam e não há garantia de retorno, proteção ou superação de benchmark.'","As informações são educacionais e devem ser avaliadas com riscos, limitações, custos e suitability. Não há promessa, garantia ou projeção de retorno.",REVISAO_OBRIGATORIA
JIM-COMP-0021,C:\Users\jfdco\OneDrive\Área de Trabalho\HARPIAN\04_JIM_COMPLIANCE_QA\compliance_audit_extracted\HARPIAN_QA_CONSOLIDADO_COM_DISCLAIMERS.docx,"paragraph_block_304: Funcionalidades: (i) Simulação de alocação variável: o advisor desloca sliders de alocação entre componentes e visualiza em tempo real o Risk Number resultante, drawdown esperado e CAGR histórico; (ii) Comparação de cenários: múltiplos cenários de alocação são salvos e comparados lado a lado; (iii) Stress testing: cada cenário é testado em períodos históricos de crise para avaliar comportamento defensivo; (iv) Risk Gap visualization: exibição gráfica da distância entre Risk Number atual e target; (v) Simulação de transição: caminho de rebalanceamento gradual do portfólio atual para o portfólio alvo. Nota: todas as simulações usam dados histór",Promessa proibida / garantia,CRITICAL,"A linguagem pode ser lida como promessa, garantia ou projeção de resultado.","Substituir por linguagem condicional e factual: 'A estratégia pode ser analisada como parte de um processo de suitability; resultados variam e não há garantia de retorno, proteção ou superação de benchmark.'","As informações são educacionais e devem ser avaliadas com riscos, limitações, custos e suitability. Não há promessa, garantia ou projeção de retorno.",REVISAO_OBRIGATORIA
JIM-COMP-0022,C:\Users\jfdco\OneDrive\Área de Trabalho\HARPIAN\04_JIM_COMPLIANCE_QA\compliance_audit_extracted\HARPIAN_QA_CONSOLIDADO_COM_DISCLAIMERS.docx,"paragraph_block_336: Em 5 anos, o impacto é marginal; em 30 anos, pode representar diferença de 2–3x no capital final; (iv) Interação com variação cambial: para investidores brasileiros em ativos em USD, a desvalorização histórica do BRL significa que parte expressiva do ganho 'em BRL' é variação cambial — não crescimento real de portfólio. A otimização fiscal não é garantida — cada situação deve ser avaliada com assessor tributário qualificado. Disclaimer aplicável: Os números e análises apresentados nesta resposta são estimativas aproximadas, baseadas nas informações disponíveis, em dados históricos e/ou em premissas quantitativas específicas. Eles têm finalida",Promessa proibida / garantia,CRITICAL,"A linguagem pode ser lida como promessa, garantia ou projeção de resultado.","Substituir por linguagem condicional e factual: 'A estratégia pode ser analisada como parte de um processo de suitability; resultados variam e não há garantia de retorno, proteção ou superação de benchmark.'","As informações são educacionais e devem ser avaliadas com riscos, limitações, custos e suitability. Não há promessa, garantia ou projeção de retorno.",REVISAO_OBRIGATORIA
JIM-COMP-0023,C:\Users\jfdco\OneDrive\Área de Trabalho\HARPIAN\04_JIM_COMPLIANCE_QA\compliance_audit_extracted\HARPIAN_QA_CONSOLIDADO_COM_DISCLAIMERS.docx,"paragraph_block_401: 0% para re-entrada cria uma zona de indiferença que filtra mercados laterais ruidosos, reduzindo whipsaw; (iii) Liquidação escalonada (40/60): a saída em dois tempos permite liquidação imediata parcial para capturar proteção rápida, enquanto o ciclo mensal fornece o sinal de confirmação para liquidação completa — melhor que saída 100% imediata (que pode ser whipsaw) ou saída 100% no fim do mês (que pode ser tarde demais). O diferencial não é proteção total — é a combinação de eficácia, baixo custo de falsos positivos e operacionalidade para escala institucional. I9.",Promessa proibida / garantia,CRITICAL,"A linguagem pode ser lida como promessa, garantia ou projeção de resultado.","Substituir por linguagem condicional e factual: 'A estratégia pode ser analisada como parte de um processo de suitability; resultados variam e não há garantia de retorno, proteção ou superação de benchmark.'","As informações são educacionais e devem ser avaliadas com riscos, limitações, custos e suitability. Não há promessa, garantia ou projeção de retorno.",REVISAO_OBRIGATORIA
JIM-COMP-0024,C:\Users\jfdco\OneDrive\Área de Trabalho\HARPIAN\04_JIM_COMPLIANCE_QA\compliance_audit_extracted\HARPIAN_QA_CONSOLIDADO_COM_DISCLAIMERS.docx,"paragraph_block_552: O portfólio HPC22 absorve integralmente a queda antes da liquidação; (ii) Simultâneo com evento de liquidez de mercado: os ETFs subjacentes (SPY, QQQ) têm spreads temporariamente alargados de 0.5–1%, aumentando o custo de execução da liquidação; (iii) Seguido de bear rally agressivo: o sistema vai a caixa na queda, mas o mercado recupera 25% em 3 semanas (bear rally). O SGA retorna a território positivo, o sistema re-entra. Em seguida, retoma a queda por mais 30%; (iv) Portfólio do cliente tem RN acima do tolerado: o investor entra em pânico no segundo tranche de queda e resgata após a baixa, cristalizando perdas antes da recuperação final. R",Promessa proibida / garantia,CRITICAL,"A linguagem pode ser lida como promessa, garantia ou projeção de resultado.","Substituir por linguagem condicional e factual: 'A estratégia pode ser analisada como parte de um processo de suitability; resultados variam e não há garantia de retorno, proteção ou superação de benchmark.'","As informações são educacionais e devem ser avaliadas com riscos, limitações, custos e suitability. Não há promessa, garantia ou projeção de retorno.",REVISAO_OBRIGATORIA
