global_id,source_file,local_id,question,answer_excerpt,theme_cluster,primary_books,secondary_books,how_to_enrich,compliance_guardrail
JIM-LIT-0011,Harpian_150_Questionnaire.docx,11,11. Como tolerância a risco difere de capacidade de risco?,"Tolerância ao risco é a dimensão psicológica e emocional: o nível de incerteza e volatilidade que o investidor consegue suportar sem tomar decisões irracionais (como vender em pânico). É subjetiva e relativamente estável ao longo do tempo, mas pode variar com experiências de mercado. Capacidade de risco é a dimensão objetiva e financeira: o nível de perda que o investidor pode efetivamente absorver sem comprometer seus objetivos financeiros essenciais. Um investidor pode ter alta capacidade (gra",risk_number_suitability,B10: The Most Important Thing | B04: Thinking in Bets | B07: The Misbehavior of Markets,B11: Antifragile | B14: The Art of War,"Howard Marks, em The Most Important Thing, reforça risco é mais que volatilidade; Annie Duke, em Thinking in Bets, reforça boa decisão pode ter mau resultado; Benoit Mandelbrot, em The Misbehavior of Markets, reforça retornos têm caudas gordas.",Não tratar Risk Number como recomendação; é linguagem de alinhamento de risco e deve exigir revisão humana/suitability.
JIM-LIT-0012,Harpian_150_Questionnaire.docx,12,12. Como objetivo de retorno muda o risco necessário?,"O objetivo de retorno determina o risco mínimo necessário para atingir a meta financeira — o que pode ser denominado 'risco de destino'. Se um investidor precisa de retorno real de 8% a.a. para atingir sua meta em 15 anos, mas investe em instrumentos que rendem 4% a.a., ele assume risco de destino elevado (probabilidade de não atingir o objetivo) independentemente da baixa volatilidade do portfólio. Esse é um trade-off fundamental: reduzir o risco de jornada (volatilidade) frequentemente aumenta",adversarial_failure_limits,B11: Antifragile | B07: The Misbehavior of Markets | B04: Thinking in Bets,B10: The Most Important Thing | B14: The Art of War,"Nassim Nicholas Taleb, em Antifragile, reforça sistemas frágeis quebram sob stress; Benoit Mandelbrot, em The Misbehavior of Markets, reforça retornos têm caudas gordas; Annie Duke, em Thinking in Bets, reforça boa decisão pode ter mau resultado.","Enfatizar limites, cenários de falha e ausência de garantia; escalar para humano quando envolver ação financeira."
JIM-LIT-0013,Harpian_150_Questionnaire.docx,13,13. Como calcular perda potencial em 6 meses com 95% de confiança?,"Utilizando a metodologia de Valor em Risco Paramétrico (VaR Normal): Perda Potencial = Valor do Portfólio × (μ_6m − 1,645 × σ_6m), onde μ_6m é o retorno médio esperado em 6 meses (pode-se assumir zero para fins conservadores), σ_6m é o desvio padrão de 6 meses = σ_anual / √2, e 1,645 é o z-score correspondente ao percentil 5% da distribuição normal (intervalo unilateral de 95%). Exemplo: portfólio com σ anual de 20%, σ_6m = 20%/√2 ≈ 14,1%. Perda estimada = 1,645 × 14,1% ≈ 23,2%. Nota: o VaR para",performance_backtest_metrics,B06: Advances in Financial Machine Learning | B07: The Misbehavior of Markets | B10: The Most Important Thing,B11: Antifragile,"Marcos López de Prado, em Advances in Financial Machine Learning, reforça backtests sofrem risco de overfitting; Benoit Mandelbrot, em The Misbehavior of Markets, reforça retornos têm caudas gordas; Howard Marks, em The Most Important Thing, reforça risco é mais que volatilidade.","Sempre acrescentar: performance passada/backtest não garante resultado futuro; considerar custos, slippage, liquidez, impostos, overfitting e suitability."
JIM-LIT-0014,Harpian_150_Questionnaire.docx,14,14. Como explicar intervalo de confiança aplicado a portfólios?,"O intervalo de confiança no contexto de portfólios representa o range de retornos esperados dentro do qual os resultados reais devem se situar com determinada probabilidade. Um intervalo de confiança de 95% em 6 meses significa que, em 95% dos cenários simulados (ou observados historicamente), o portfólio não perderá mais do que o valor calculado. De forma intuitiva: 'em 19 de cada 20 períodos de 6 meses, a perda máxima esperada é X%'. O 5% restante representa os cenários de cauda — eventos extr",behavioral_decision,B04: Thinking in Bets | B10: The Most Important Thing | B11: Antifragile,B05: The Mathematical Theory of Communication | B06: Advances in Financial Machine Learning,"Annie Duke, em Thinking in Bets, reforça boa decisão pode ter mau resultado; Howard Marks, em The Most Important Thing, reforça risco é mais que volatilidade; Nassim Nicholas Taleb, em Antifragile, reforça sistemas frágeis quebram sob stress.","Evitar aconselhamento pessoal; reforçar processo decisório, probabilidades e adequação ao perfil."
JIM-LIT-0015,Harpian_150_Questionnaire.docx,15,15. Quais limites regulatórios existem ao usar score de risco?,"No contexto regulatório, os principais limites incluem: (i) MiFID II (Europa): exige categorização formal de cliente (Retail, Professional, Eligible Counterparty) e avaliação de adequação (suitability assessment) documentada — o score de risco por si só não cumpre o requisito; (ii) FINRA (EUA): Rule 2111 exige análise de suitability e Rule 4512 exige KYC completo — o Risk Number é ferramenta auxiliar, não substituto; (iii) CVM (Brasil): Resolução CVM 30/2021 exige classificação de investidores e",adversarial_failure_limits,B11: Antifragile | B07: The Misbehavior of Markets | B04: Thinking in Bets,B10: The Most Important Thing | B14: The Art of War,"Nassim Nicholas Taleb, em Antifragile, reforça sistemas frágeis quebram sob stress; Benoit Mandelbrot, em The Misbehavior of Markets, reforça retornos têm caudas gordas; Annie Duke, em Thinking in Bets, reforça boa decisão pode ter mau resultado.","Enfatizar limites, cenários de falha e ausência de garantia; escalar para humano quando envolver ação financeira."
JIM-LIT-0016,Harpian_150_Questionnaire.docx,16,16. Como explicar 'Approximate Risk Number' sem prometer precisão?,"O 'Approximate Risk Number' deve ser comunicado como uma estimativa orientativa baseada em dados incompletos ou simplificados, não como uma avaliação formal de perfil de risco. Linguagem adequada: 'Com base nas informações fornecidas, seu perfil de risco estimado situa-se na faixa de X a Y. Esta é uma aproximação preliminar que serve como ponto de partida para uma análise mais aprofundada. Para uma avaliação completa, seria necessário um questionário formal e análise detalhada da sua situação fi",risk_number_suitability,B10: The Most Important Thing | B04: Thinking in Bets | B07: The Misbehavior of Markets,B11: Antifragile | B14: The Art of War,"Howard Marks, em The Most Important Thing, reforça risco é mais que volatilidade; Annie Duke, em Thinking in Bets, reforça boa decisão pode ter mau resultado; Benoit Mandelbrot, em The Misbehavior of Markets, reforça retornos têm caudas gordas.",Não tratar Risk Number como recomendação; é linguagem de alinhamento de risco e deve exigir revisão humana/suitability.
JIM-LIT-0017,Harpian_150_Questionnaire.docx,17,17. Como comunicar baixa confiança no cálculo?,"Comunicar baixa confiança no cálculo requer transparência sobre suas limitações. Estratégias recomendadas: (i) indicar explicitamente o intervalo de incerteza em vez de um número único (ex.: 'seu Risk Number estimado está entre 30 e 50'); (ii) especificar os dados faltantes que limitam a precisão; (iii) usar linguagem qualificada: 'com base nos dados disponíveis, a estimativa é X, mas esta avaliação tem limitações devido a [motivo]'; (iv) oferecer caminho de refinamento: 'para aumentar a precisã",behavioral_decision,B04: Thinking in Bets | B10: The Most Important Thing | B11: Antifragile,B05: The Mathematical Theory of Communication,"Annie Duke, em Thinking in Bets, reforça boa decisão pode ter mau resultado; Howard Marks, em The Most Important Thing, reforça risco é mais que volatilidade; Nassim Nicholas Taleb, em Antifragile, reforça sistemas frágeis quebram sob stress.","Evitar aconselhamento pessoal; reforçar processo decisório, probabilidades e adequação ao perfil."
JIM-LIT-0018,Harpian_150_Questionnaire.docx,18,18. Quais frases evitar ao explicar score de risco?,"Frases a evitar rigorosamente: (i) 'Seu portfólio é seguro' — implica garantia inexistente; (ii) 'Este investimento não vai cair mais de X%' — promessa de performance proibida; (iii) 'Nosso sistema garante proteção contra perdas' — nenhum sistema garante proteção total; (iv) 'Você vai ganhar X% ao ano' — projeção de retorno como certeza; (v) 'Este score é preciso' — sem qualificação, cria expectativa de exatidão indevida; (vi) 'Você não vai perder dinheiro' — falso e potencialmente fraudulento; ",adversarial_failure_limits,B11: Antifragile | B07: The Misbehavior of Markets | B04: Thinking in Bets,B10: The Most Important Thing | B14: The Art of War,"Nassim Nicholas Taleb, em Antifragile, reforça sistemas frágeis quebram sob stress; Benoit Mandelbrot, em The Misbehavior of Markets, reforça retornos têm caudas gordas; Annie Duke, em Thinking in Bets, reforça boa decisão pode ter mau resultado.","Enfatizar limites, cenários de falha e ausência de garantia; escalar para humano quando envolver ação financeira."
JIM-LIT-0019,Harpian_150_Questionnaire.docx,19,19. Quais disclaimers usar em risk profiling?,"Disclaimers recomendados para contextos de risk profiling: (i) 'Este perfil de risco é baseado nas informações fornecidas e pode não refletir mudanças em sua situação financeira pessoal.'; (ii) 'Resultados passados não garantem resultados futuros.'; (iii) 'O Risk Number é uma estimativa e não constitui garantia de performance ou proteção contra perdas.'; (iv) 'Este documento não constitui aconselhamento jurídico, fiscal ou de investimento individualizado.'; (v) 'Investimentos envolvem riscos, in",adversarial_failure_limits,B11: Antifragile | B07: The Misbehavior of Markets | B04: Thinking in Bets,B10: The Most Important Thing | B14: The Art of War,"Nassim Nicholas Taleb, em Antifragile, reforça sistemas frágeis quebram sob stress; Benoit Mandelbrot, em The Misbehavior of Markets, reforça retornos têm caudas gordas; Annie Duke, em Thinking in Bets, reforça boa decisão pode ter mau resultado.","Enfatizar limites, cenários de falha e ausência de garantia; escalar para humano quando envolver ação financeira."
JIM-LIT-0020,Harpian_150_Questionnaire.docx,20,20. Como documentar que o cliente aceitou desalinhamento?,"A documentação do aceite de desalinhamento deve incluir: (i) registro formal (assinado ou com consentimento digital auditável) indicando que o cliente foi informado sobre a divergência entre seu Risk Number pessoal e o Risk Number do portfólio escolhido; (ii) descrição explícita da natureza do desalinhamento (ex.: 'seu perfil indica Risk Number 35, mas você optou por uma estratégia com Risk Number 58'); (iii) declaração de que os riscos adicionais foram explicados e compreendidos; (iv) data e id",risk_number_suitability,B10: The Most Important Thing | B04: Thinking in Bets | B07: The Misbehavior of Markets,B11: Antifragile,"Howard Marks, em The Most Important Thing, reforça risco é mais que volatilidade; Annie Duke, em Thinking in Bets, reforça boa decisão pode ter mau resultado; Benoit Mandelbrot, em The Misbehavior of Markets, reforça retornos têm caudas gordas.",Não tratar Risk Number como recomendação; é linguagem de alinhamento de risco e deve exigir revisão humana/suitability.
JIM-LIT-0021,Harpian_150_Questionnaire.docx,21,21. O que é volatilidade anualizada?,"Volatilidade anualizada é o desvio padrão dos retornos de um ativo ou portfólio, escalado para um período de um ano. É a medida mais utilizada de risco estatístico em finanças quantitativas. Matematicamente: σ_anual = σ_período × √(períodos por ano). Para retornos diários: σ_anual = σ_diário × √252 (utilizando convenção de 252 dias úteis por ano). Para retornos mensais: σ_anual = σ_mensal × √12. Representa a amplitude esperada de oscilação do retorno anual em torno de sua média. Por exemplo, uma",performance_backtest_metrics,B06: Advances in Financial Machine Learning | B07: The Misbehavior of Markets | B10: The Most Important Thing,B11: Antifragile,"Marcos López de Prado, em Advances in Financial Machine Learning, reforça backtests sofrem risco de overfitting; Benoit Mandelbrot, em The Misbehavior of Markets, reforça retornos têm caudas gordas; Howard Marks, em The Most Important Thing, reforça risco é mais que volatilidade.","Sempre acrescentar: performance passada/backtest não garante resultado futuro; considerar custos, slippage, liquidez, impostos, overfitting e suitability."
JIM-LIT-0022,Harpian_150_Questionnaire.docx,22,22. Como converter volatilidade diária em anualizada?,"A conversão de volatilidade diária para anualizada segue a regra da raiz quadrada do tempo (derivada da hipótese de retornos independentes e identicamente distribuídos — i.i.d.): σ_anual = σ_diário × √252. O fator 252 é a convenção padrão de dias úteis em mercados americanos. Algumas jurisdições utilizam 250 ou 260. A fórmula assume que os retornos diários são independentes — premissa que é razoável para períodos curtos mas que pode ser violada em períodos de crise, onde a autocorrelação de reto",performance_backtest_metrics,B06: Advances in Financial Machine Learning | B07: The Misbehavior of Markets | B10: The Most Important Thing,B11: Antifragile,"Marcos López de Prado, em Advances in Financial Machine Learning, reforça backtests sofrem risco de overfitting; Benoit Mandelbrot, em The Misbehavior of Markets, reforça retornos têm caudas gordas; Howard Marks, em The Most Important Thing, reforça risco é mais que volatilidade.","Sempre acrescentar: performance passada/backtest não garante resultado futuro; considerar custos, slippage, liquidez, impostos, overfitting e suitability."
JIM-LIT-0023,Harpian_150_Questionnaire.docx,23,23. O que é drawdown?,"Drawdown é a queda percentual acumulada no valor de um portfólio ou ativo, medida da diferença entre um pico de valor anterior e o valor atual (ou um vale subsequente). Formalmente: DD(t) = [P(t) − max(P(s) | s ≤ t)] / max(P(s) | s ≤ t), onde P(t) é o valor na data t e max(P(s)) é o maior valor atingido até a data t. O drawdown é zero quando o portfólio está em sua máxima histórica e se torna negativo à medida que o valor cai. É uma medida de risco assimétrica e path-dependent (depende da trajet",performance_backtest_metrics,B06: Advances in Financial Machine Learning | B07: The Misbehavior of Markets | B10: The Most Important Thing,B11: Antifragile,"Marcos López de Prado, em Advances in Financial Machine Learning, reforça backtests sofrem risco de overfitting; Benoit Mandelbrot, em The Misbehavior of Markets, reforça retornos têm caudas gordas; Howard Marks, em The Most Important Thing, reforça risco é mais que volatilidade.","Sempre acrescentar: performance passada/backtest não garante resultado futuro; considerar custos, slippage, liquidez, impostos, overfitting e suitability."
JIM-LIT-0024,Harpian_150_Questionnaire.docx,24,24. O que é max drawdown?,Max Drawdown (MDD) é a maior queda percentual registrada entre um pico e o vale subsequente ao longo de todo o histórico de um portfólio. É calculado como: MDD = min[DD(t)] ao longo de todo o período analisado. Representa o pior cenário histórico de perda que um investidor poderia ter sofrido caso tivesse investido no pico e mantido a posição até o vale mínimo. É uma das métricas de risco mais relevantes para investidores de longo prazo pois captura a magnitude máxima de destruição de capital. C,performance_backtest_metrics,B06: Advances in Financial Machine Learning | B07: The Misbehavior of Markets | B10: The Most Important Thing,B11: Antifragile,"Marcos López de Prado, em Advances in Financial Machine Learning, reforça backtests sofrem risco de overfitting; Benoit Mandelbrot, em The Misbehavior of Markets, reforça retornos têm caudas gordas; Howard Marks, em The Most Important Thing, reforça risco é mais que volatilidade.","Sempre acrescentar: performance passada/backtest não garante resultado futuro; considerar custos, slippage, liquidez, impostos, overfitting e suitability."
JIM-LIT-0025,Harpian_150_Questionnaire.docx,25,25. O que é drawdown duration?,"Drawdown Duration (ou recovery period) é o intervalo de tempo entre um pico de valor de portfólio e o momento em que esse pico é recuperado — ou seja, o tempo total que o investidor permanece 'abaixo do pico'. É uma dimensão temporal do risco de drawdown, complementar à sua magnitude. Por exemplo, o S&P 500 levou aproximadamente 4 anos para recuperar o pico de 2000 após o estouro da bolha dot-com, e cerca de 5 anos para recuperar o pico de outubro de 2007 após a crise de 2008. Drawdowns longos t",performance_backtest_metrics,B06: Advances in Financial Machine Learning | B07: The Misbehavior of Markets | B10: The Most Important Thing,B11: Antifragile | B04: Thinking in Bets,"Marcos López de Prado, em Advances in Financial Machine Learning, reforça backtests sofrem risco de overfitting; Benoit Mandelbrot, em The Misbehavior of Markets, reforça retornos têm caudas gordas; Howard Marks, em The Most Important Thing, reforça risco é mais que volatilidade.","Sempre acrescentar: performance passada/backtest não garante resultado futuro; considerar custos, slippage, liquidez, impostos, overfitting e suitability."
JIM-LIT-0026,Harpian_150_Questionnaire.docx,26,26. O que é downside deviation?,"Downside deviation (desvio negativo) é uma medida de volatilidade que considera apenas os retornos abaixo de um threshold pré-definido (usualmente zero ou a taxa livre de risco). Matematicamente: DD = √[Σ(min(r_i − threshold, 0)²) / n]. Difere do desvio padrão convencional porque ignora a volatilidade positiva (ganhos), capturando apenas a dispersão de retornos indesejados. É a base do Sortino Ratio e alinha-se melhor com a aversão à perda documentada por Kahneman & Tversky (1979), segundo a qua",performance_backtest_metrics,B06: Advances in Financial Machine Learning | B07: The Misbehavior of Markets | B10: The Most Important Thing,B11: Antifragile,"Marcos López de Prado, em Advances in Financial Machine Learning, reforça backtests sofrem risco de overfitting; Benoit Mandelbrot, em The Misbehavior of Markets, reforça retornos têm caudas gordas; Howard Marks, em The Most Important Thing, reforça risco é mais que volatilidade.","Sempre acrescentar: performance passada/backtest não garante resultado futuro; considerar custos, slippage, liquidez, impostos, overfitting e suitability."
JIM-LIT-0027,Harpian_150_Questionnaire.docx,27,27. O que é Sharpe Ratio?,"O Sharpe Ratio, desenvolvido por William F. Sharpe em 1966, mede o retorno em excesso sobre a taxa livre de risco por unidade de risco total (volatilidade): SR = (R_p − R_f) / σ_p, onde R_p é o retorno do portfólio, R_f é a taxa livre de risco e σ_p é o desvio padrão do portfólio. Um SR > 1 é geralmente considerado bom; SR > 2 é muito bom. Limitações: (i) penaliza igualmente a volatilidade positiva e negativa; (ii) assume distribuição normal dos retornos; (iii) é sensível ao período de análise; ",performance_backtest_metrics,B06: Advances in Financial Machine Learning | B07: The Misbehavior of Markets | B10: The Most Important Thing,B11: Antifragile,"Marcos López de Prado, em Advances in Financial Machine Learning, reforça backtests sofrem risco de overfitting; Benoit Mandelbrot, em The Misbehavior of Markets, reforça retornos têm caudas gordas; Howard Marks, em The Most Important Thing, reforça risco é mais que volatilidade.","Sempre acrescentar: performance passada/backtest não garante resultado futuro; considerar custos, slippage, liquidez, impostos, overfitting e suitability."
JIM-LIT-0028,Harpian_150_Questionnaire.docx,28,28. O que é Sortino Ratio?,"O Sortino Ratio, desenvolvido por Frank Sortino, é uma variação do Sharpe Ratio que substitui o desvio padrão total pelo downside deviation no denominador: SoR = (R_p − MAR) / DD, onde MAR é o minimum acceptable return (retorno mínimo aceitável, frequentemente zero ou a taxa livre de risco) e DD é o downside deviation em relação ao MAR. Ao penalizar apenas a volatilidade negativa, o Sortino Ratio é mais adequado para estratégias com distribuições assimétricas positivas — como estratégias de mome",performance_backtest_metrics,B06: Advances in Financial Machine Learning | B07: The Misbehavior of Markets | B10: The Most Important Thing,B11: Antifragile,"Marcos López de Prado, em Advances in Financial Machine Learning, reforça backtests sofrem risco de overfitting; Benoit Mandelbrot, em The Misbehavior of Markets, reforça retornos têm caudas gordas; Howard Marks, em The Most Important Thing, reforça risco é mais que volatilidade.","Sempre acrescentar: performance passada/backtest não garante resultado futuro; considerar custos, slippage, liquidez, impostos, overfitting e suitability."
