numero,livro,autor,tema,papel_no_JIM,usar_quando,arquivo_atual
10,Trading in the Zone,Mark Douglas,Psicologia do Trading,"Crenças, execução probabilística, consistência e aceitação de incerteza","incerteza, execução, probabilidade, disciplina, viés",10 - Trading in the Zone - Mark Douglas.pdf
11,Best Loser Wins,Tom Hougaard,Psicologia do Trading,"Perder bem, assimetria emocional, execução sob stress e aceitação de drawdown","perda, drawdown, emoção, stress, disciplina",11 - Best Loser Wins - Tom Hougaard.pdf
12,Thinking in Bets,Annie Duke,Psicologia do Trading,"Decisão sob incerteza, probabilidades, separação entre processo e resultado","decisão, probabilidade, incerteza, outcome, processo",12 - Thinking in Bets - Annie Duke.epub
13,Extreme Ownership,Jocko Willink & Leif Babin,Psicologia do Trading,"Responsabilidade extrema, liderança, execução, pós-mortem e disciplina operacional","responsabilidade, execução, liderança, processo, erro",13 - Extreme Ownership - Jocko Willink.pdf
14,Quantitative Momentum,Wesley Gray & Jack Vogel,Finanças Quantitativas,"Momentum como fator, ranking sistemático, disciplina de rebalanceamento e evidência empírica","momentum, ranking, fator, rotação, rebalanceamento, alphadroid",14 - Quantitative Momentum - Wesley Gray.pdf
15,Advances in Financial Machine Learning,Marcos López de Prado,Finanças Quantitativas,"Backtesting rigoroso, overfitting, validação temporal, leakage, métricas e ML financeiro","backtest, overfitting, sharpe, drawdown, validação, machine learning",15 - Advances in Financial Machine Learning - Marcos Lopez de Prado.pdf
16,Chaos and Order in the Capital Markets,Edgar Peters,Estrutura & Complexidade dos Mercados,"Fractais, Hurst, regimes não lineares, memória de mercado e complexidade","hurst, fractal, regime, caos, complexidade, ciclo",16 - Chaos and Order in the Capital Markets - Edgar Peters.pdf
17,The Misbehavior of Markets,Benoit Mandelbrot,Estrutura & Complexidade dos Mercados,"Caudas gordas, volatilidade agrupada, extremos e limites dos modelos normais","cauda gorda, volatilidade, drawdown, crash, risco extremo",17 - The Misbehavior of Markets - Benoit Mandelbrot.pdf
18,Elliott Wave Principle,Frost & Prechter,Estrutura & Complexidade dos Mercados,"Ondas, estrutura psicológica de ciclos, padrões de mercado e narrativa técnica","elliott, ondas, ciclo, padrão, psicologia coletiva",18 - Elliott Wave Principle - Frost and Prechter.pdf
19,Flash Boys,Michael Lewis,Estrutura & Complexidade dos Mercados,"Microestrutura, HFT, execução, assimetria informacional e fricções de mercado","hft, execução, microestrutura, liquidez, slippage",19 - Flash Boys - Michael Lewis.pdf
20,Fooled by Randomness,Nassim Nicholas Taleb,"Risco, Probabilidade & Incerteza","Aleatoriedade, survivorship bias, sorte, ruído e falsa causalidade","aleatoriedade, sorte, ruído, viés, probabilidade",20 - Fooled by Randomness - Nassim Taleb.pdf
21,Antifragile,Nassim Nicholas Taleb,"Risco, Probabilidade & Incerteza","Fragilidade, convexidade, opcionalidade, robustez e resposta a stress","antifrágil, fragilidade, convexidade, opcionalidade, stress",21 - Antifragile - Nassim Taleb.pdf
22,The Mathematical Theory of Communication,Claude Shannon & Warren Weaver,"Risco, Probabilidade & Incerteza","Sinal, ruído, informação, compressão e clareza comunicacional","sinal, ruído, informação, comunicação, mensagem",22 - The Mathematical Theory of Communication - Claude Shannon.djvu
23,World Order,Henry Kissinger,Macro & Geopolítica,"Ordem internacional, equilíbrio de poder, risco geopolítico e história estratégica","geopolítica, ordem mundial, poder, país, risco político",23 - World Order - Henry Kissinger.pdf
24,Principles for Dealing with the Changing World Order,Ray Dalio,Macro & Geopolítica,"Ciclos de dívida, impérios, liquidez, inflação e mudanças de regime macro","macro, dívida, inflação, ciclo, regime, dalio",24 - Principles for Dealing with the Changing World Order - Ray Dalio.pdf
25,The End of the World is Just the Beginning,Peter Zeihan,Macro & Geopolítica,"Demografia, desglobalização, energia, cadeias produtivas e geografia econômica","demografia, desglobalização, energia, supply chain, macro",25 - The End of the World is Just the Beginning - Peter Zeihan.pdf
26,The Only Game in Town,Mohamed El-Erian,Macro & Geopolítica,"Bancos centrais, liquidez, política monetária e distorções de mercado","banco central, fed, juros, liquidez, política monetária",26 - The Only Game in Town - Mohamed El-Erian.pdf
27,The Most Important Thing,Howard Marks,Investimento & Biografia,"Pensamento de segundo nível, ciclos, risco, margem de segurança e prudência","risco, ciclo, margem de segurança, prudência, segundo nível",27 - The Most Important Thing - Howard Marks.pdf
28,The Man Who Solved the Market,Gregory Zuckerman,Investimento & Biografia,"Jim Simons, Renaissance, cultura quantitativa, dados, pesquisa e disciplina","simons, renaissance, quant, dados, modelo, pesquisa",28 - The Man Who Solved the Market - Gregory Zuckerman.epub
29,The Art of War,Sun Tzu,Clássico,"Estratégia, disciplina, terreno, assimetria, preparação e evitar batalhas ruins","estratégia, disciplina, terreno, adversário, preparação",29 - The Art of War - Sun Tzu.pdf
